State,Total Population 2021,Population Growth or Decline 2010 to 2021,Households 2020,Labor Force (persons) Ann. Avg. 2021,Unemployment Rate Ann. Avg. 2021,Per Capita Personal Income 2021,Median Household Income 2020,Poverty Rate 2020,High School Diploma or More - Pct. of Adults 25+ 2020,Bachelor's Degree or More - Pct. of Adults 25+ 2020,Covered Employment 2021,Avg Wage per Job 2021,Manufacturing - Pct. All Jobs in County 2021,Manufacturing - Avg Wage per Job 2021,Transportation and Warehousing - Pct. All Jobs in County 2021,Transportation and Warehousing - Avg Wage per Job 2021,"Health Care, Social Assist. - Pct. All Jobs in County 2021","Health Care, Social Assist. - Avg Wage per Job 2021",Finance and Insurance - Pct. All Jobs in County 2021,Finance and Insurance - Avg Wage per Job 2021,Population in 2021,Population in 2010,Population in 2000,Population in 1990,Population in 1980,Population change 2000 to 2010,Population change 1990 to 2010,Population change 1980 to 2010,Net Domestic Migration,Net International Migration,Natural Increase (births minus deaths),Births,Deaths,Preschool (0 to 4),School Age (5 to 17),College Age (18 to 24),Young Adult (25 to 44),Older Adult (45 to 64),Older (65 plus),Median Age,American Ind. or Alaskan Native Alone,Asian Alone,Black Alone,Native Hawaiian and Other Pac. Isl. Alone,White Alone,Two or More Race Groups,Non-Hispanic or Latino,Hispanic or Latino,Puerto Rican,Other,"White, Not Hispanic (reporting white alone)",Hispanic,Mexican,Cuban,Total Households,Family Households,Married with Children,Married without Children,Single Parents,Other,Non-Family Households,Living Alone,Average Household Size,Total Housing Units (ACS estimate),Occupied Units,Owner Occupied,Renter Occupied,Vacant,For Seasonal or Recreational Use,Total Permits Filed,Single Family Permits,Two Family Permits,Three and Four Family Permits,Five Families and More Permits,Median Household Income 2020,Median Household Income 2000,Percent Change 2000 to 2020,2021,2011,2001,1991,10-Year pct. Change,20-Year pct. Change,30-Year pct. Change,Total Earnings by Place of Work,Minus: Contributions for Government Social Insurance,Personal Contributions for Government Social Insurance,Employer Contributions for Government Social Insurance,Plus: Adjustment for Residence,Net Earnings by Place of Residence,"Plus: Dividends, Rent, Interest",Plus: Transfer Payments,Equals: Personal Income by Place of Residence,Poverty Rate in 2020,Poverty Rate for Children under 18 in 2020,Total Labor Force,Labor Force 5-Year Pct. Chg,Labor Force 10-Year Pct. Chg,Employed,Employed 5-Year Pct. Chg,Employed 10-Year Pct. Chg,Unemployed,Unemployed 5-Year Pct. Chg,Unemployed 10-Year Pct. Chg,Unemployment Rate,Unemployment Rate 5-Year Pct. Chg,Unemployment Rate 10-Year Pct. Chg,Total Population 25 and Older,Less than 9th Grade,"9th to 12th, No Diploma",High School Graduate (includes equiv.),"Some College, No Degree",Associate Degree,Bachelor's Degree,"Graduate, Professional or Doctorate Degree"
Hawaii,"1,441,553",6.00%,"467,932","668,413",5.7,"$60,947 ","$86,878 ",8.9,92.50%,33.60%,"588,085","$59,644 ",1.10%,"$100,858 ",4.80%,"$63,558 ",13.40%,"$66,764 ",2.70%,"$96,159 ","1,441,553","1,360,301","1,212,396","1,112,703","964,691",12.20%,22.30%,41.00%,"-12,603","1,077","1,256","15,904","14,648","88,179","214,068","121,404","382,820","352,396","261,207",39.4,"3,508","534,519","26,717","147,698","342,923","344,918","1,267,508","152,566","51,188","52,169","306,360","152,566","47,164","2,045","467,932","324,482","85,839","153,709","32,250","52,684","143,450","113,636",2.9,"546,571","467,932","282,037","185,895","78,639","32,027","3,459","2,445",102,13,899,"$86,878 ","$49,005 ",77.30%,"$60,947 ","$42,809 ","$30,229 ","$23,253 ",42.40%,101.60%,162.10%,"$57,921,085 ","$6,623,962 ","$3,494,112 ","$3,129,850 ",$0 ,"$51,297,123 ","$16,367,252 ","$20,193,288 ","$87,857,663 ",8.9,10.4,"668,413",-1.60%,1.20%,"630,187",-4.50%,2.40%,"38,226",95.40%,-15.40%,5.7,96.60%,-16.20%,"996,423","34,509","40,366","272,031","206,808","108,220","218,679","115,810"
Idaho,"1,900,923",21.30%,"649,299","917,056",3.6,"$52,369 ","$62,603 ",10.1,91.30%,28.70%,"790,424","$50,744 ",8.90%,"$67,013 ",3.90%,"$47,132 ",14.30%,"$50,488 ",3.40%,"$83,342 ","1,900,923","1,567,582","1,299,555","1,011,882","944,127",20.60%,54.90%,66.00%,"48,876",413,"4,398","21,316","16,918","114,332","330,266","164,425","451,494","416,106","277,744",36.6,"23,029","24,501","11,536","3,174","1,550,979","75,096","1,531,400","222,967","5,145","28,259","1,427,529","222,967","188,699",864,"649,299","441,391","143,001","213,167","47,132","38,091","207,908","166,745",2.6,"737,411","649,299","459,428","189,871","88,112","48,847","21,732","16,154",222,"1,051","4,305","$62,603 ","$37,929 ",65.10%,"$52,369 ","$33,579 ","$25,799 ","$16,509 ",56.00%,103.00%,217.20%,"$63,210,380 ","$7,479,710 ","$4,032,531 ","$3,447,179 ","$1,789,814 ","$57,520,484 ","$19,899,815 ","$22,129,288 ","$99,549,587 ",10.1,11.6,"917,056",12.80%,20.00%,"884,328",12.90%,26.00%,"32,728",10.00%,-47.70%,3.6,-2.70%,-56.10%,"1,145,344","35,736","64,453","305,717","298,415","112,676","221,092","107,255"
Illinois,"12,671,469",-1.20%,"4,884,061","6,318,915",6.1,"$67,244 ","$71,243 ",11,89.70%,35.50%,"5,694,354","$70,127 ",9.80%,"$79,448 ",5.80%,"$59,802 ",13.90%,"$58,559 ",5.20%,"$146,263 ","12,671,469","12,830,632","12,437,568","11,446,979","11,427,429",3.20%,12.10%,12.30%,"-122,460","5,766","2,778","133,097","130,319","755,518","2,099,915","1,174,031","3,402,529","3,293,745","1,990,426",38.3,"33,972","709,567","1,796,660","5,196","8,874,067","539,552","10,525,468","2,190,696","203,537","249,998","7,737,459","2,190,696","1,709,245","27,916","4,884,061","3,116,415","913,506","1,387,608","409,602","405,699","1,767,646","1,457,411",2.5,"5,373,385","4,884,061","3,237,778","1,646,283","489,324","48,264","19,658","10,937",490,736,"7,495","$71,243 ","$46,327 ",53.80%,"$67,244 ","$44,194 ","$34,299 ","$21,253 ",52.20%,96.10%,216.40%,"$585,737,357 ","$59,496,157 ","$32,380,525 ","$27,115,632 ","($4,546,812)","$521,694,388 ","$157,970,009 ","$172,417,664 ","$852,082,061 ",11,13.9,"6,318,915",-3.70%,-3.80%,"5,935,974",-3.80%,0.20%,"382,941",-0.90%,-40.30%,6.1,3.40%,-37.80%,"8,686,700","401,341","496,997","2,220,409","1,775,548","707,131","1,875,011","1,210,263"
Indiana,"6,805,985",5.00%,"2,602,770","3,321,548",3.6,"$56,497 ","$60,794 ",11.6,89.30%,27.20%,"3,010,658","$54,968 ",17.40%,"$68,886 ",5.70%,"$52,935 ",14.60%,"$57,489 ",3.30%,"$84,196 ","6,805,985","6,483,802","6,091,517","5,555,097","5,490,210",6.40%,16.70%,18.10%,"14,280","4,756",692,"77,598","76,906","418,127","1,152,886","659,700","1,701,497","1,713,857","1,050,826",37.8,"14,030","158,705","631,923","2,205","5,510,354","222,591","6,221,418","475,475","43,210","85,435","5,253,453","475,475","340,483","6,347","2,602,770","1,679,392","475,434","776,716","241,496","185,746","923,378","755,193",2.5,"2,903,720","2,602,770","1,808,293","794,477","300,950","45,697","29,860","22,225",718,134,"6,783","$60,794 ","$41,511 ",46.50%,"$56,497 ","$37,799 ","$28,639 ","$18,121 ",49.50%,97.30%,211.80%,"$256,403,842 ","$28,499,537 ","$15,711,827 ","$12,787,710 ","$7,782,639 ","$235,686,944 ","$55,208,497 ","$93,624,604 ","$384,520,045 ",11.6,14.9,"3,321,548",-0.30%,4.20%,"3,203,166",0.50%,10.30%,"118,382",-18.60%,-58.40%,3.6,-18.20%,-59.60%,"4,466,180","159,253","317,172","1,482,396","898,491","396,074","770,901","441,893"
Iowa,"3,193,079",4.80%,"1,273,941","1,676,075",4.2,"$57,163 ","$62,362 ",10.2,92.50%,29.30%,"1,505,988","$54,293 ",14.50%,"$65,477 ",4.80%,"$51,899 ",14.50%,"$52,285 ",6.30%,"$89,068 ","3,193,079","3,046,355","2,928,191","2,779,769","2,913,808",4.00%,9.60%,4.50%,833,"3,078",233,"35,771","35,538","195,462","533,025","316,660","778,061","789,402","537,401",38.3,"10,538","79,296","117,035","3,941","2,806,418","92,979","2,955,604","194,407","8,704","34,809","2,677,946","194,407","148,372","2,522","1,273,941","800,738","242,613","388,645","106,733","62,747","473,203","379,248",2.4,"1,407,819","1,273,941","906,967","366,974","133,878","24,322","13,686","9,158",446,298,"3,784","$62,362 ","$40,443 ",54.20%,"$57,163 ","$41,036 ","$28,162 ","$17,924 ",39.30%,103.00%,218.90%,"$122,603,543 ","$14,192,351 ","$7,742,886 ","$6,449,465 ","$1,760,475 ","$110,171,667 ","$32,023,935 ","$40,328,912 ","$182,524,514 ",10.2,12,"1,676,075",-1.60%,0.40%,"1,605,206",-2.20%,1.90%,"70,869",16.20%,-24.80%,4.2,16.70%,-25.00%,"2,104,864","61,329","97,072","647,371","433,481","248,496","415,048","202,067"
Kansas,"2,934,582",2.90%,"1,141,985","1,495,665",3.2,"$58,924 ","$63,214 ",10.6,91.40%,33.90%,"1,353,531","$53,422 ",11.90%,"$64,603 ",5.00%,"$50,629 ",15.10%,"$52,689 ",4.30%,"$90,529 ","2,934,582","2,853,118","2,692,907","2,480,683","2,364,236",5.90%,15.00%,20.70%,"-5,241","1,355","2,263","33,670","31,407","188,853","517,119","294,657","739,696","711,377","460,917",36.9,"22,278","87,093","165,837","2,344","2,416,165","140,045","2,561,017","351,602","12,694","49,041","2,193,988","351,602","285,350","4,517","1,141,985","737,611","229,610","346,540","94,512","66,949","404,374","332,412",2.4,"1,280,376","1,141,985","756,309","385,676","138,391","14,993","9,538","6,569","1,002",135,"1,832","$63,214 ","$41,150 ",53.60%,"$58,924 ","$43,015 ","$29,112 ","$18,934 ",37.00%,102.40%,211.20%,"$117,865,091 ","$12,996,797 ","$7,051,705 ","$5,945,092 ","$1,588,920 ","$106,457,214 ","$31,472,025 ","$34,989,073 ","$172,918,312 ",10.6,13,"1,495,665",0.20%,-0.20%,"1,447,323",1.10%,3.20%,"48,342",-19.50%,-49.50%,3.2,-20.00%,-50.00%,"1,911,990","66,244","99,129","494,226","435,361","168,417","410,344","238,269"
Kentucky,"4,509,394",3.90%,"1,748,053","2,036,942",4.7,"$51,266 ","$54,074 ",14.9,87.20%,25.00%,"1,857,635","$52,862 ",13.10%,"$64,132 ",7.10%,"$59,288 ",15.20%,"$56,898 ",4.00%,"$85,176 ","4,509,394","4,339,367","4,048,714","3,692,584","3,660,334",7.20%,17.50%,18.60%,"10,022","1,182","-6,128","50,725","56,853","273,575","734,044","419,842","1,134,419","1,170,144","729,928",39,"8,364","68,139","361,230","3,033","3,848,305","124,716","4,294,003","167,949","16,993","42,004","3,751,738","167,949","90,537","18,415","1,748,053","1,139,116","310,773","528,447","156,848","143,048","608,937","502,100",2.4,"1,994,554","1,748,053","1,181,021","567,032","246,501","39,937","14,841","10,087",270,189,"4,295","$54,074 ","$35,150 ",53.80%,"$51,266 ","$34,799 ","$25,596 ","$16,345 ",47.30%,100.30%,213.60%,"$147,305,258 ","$17,411,577 ","$9,508,138 ","$7,903,439 ","($3,788,805)","$126,104,876 ","$35,227,124 ","$69,847,756 ","$231,179,756 ",14.9,19.4,"2,036,942",1.10%,-1.20%,"1,941,737",1.40%,3.90%,"95,205",-5.90%,-50.80%,4.7,-6.00%,-50.00%,"3,034,491","151,985","237,657","990,196","635,328","259,993","447,884","311,448"
Louisiana,"4,624,047",2.00%,"1,751,956","2,062,492",5.5,"$54,217 ","$51,730 ",17.8,85.90%,24.90%,"1,816,296","$53,838 ",7.10%,"$80,802 ",4.40%,"$63,275 ",16.70%,"$52,984 ",2.90%,"$80,655 ","4,624,047","4,533,372","4,468,970","4,219,179","4,206,124",1.40%,7.40%,7.80%,"-30,312","2,692",607,"55,942","55,335","304,900","792,659","427,537","1,253,093","1,166,883","719,544",37.2,"25,938","80,930","1,500,633","1,743","2,856,904","125,653","4,421,244","243,372","15,130","127,936","2,720,638","243,372","88,174","12,132","1,751,956","1,116,752","282,101","477,838","187,494","169,319","635,204","538,083",2.5,"2,074,664","1,751,956","1,167,628","584,328","322,708","59,239","19,147","16,937",480,78,"1,652","$51,730 ","$32,124 ",61.00%,"$54,217 ","$39,124 ","$25,663 ","$16,084 ",38.60%,111.30%,237.10%,"$154,214,496 ","$15,784,839 ","$8,970,596 ","$6,814,243 ","($772,055)","$137,657,602 ","$41,849,467 ","$71,193,672 ","$250,700,741 ",17.8,24.3,"2,062,492",-2.90%,-0.90%,"1,949,403",-2.30%,1.20%,"113,089",-12.40%,-26.80%,5.5,-9.80%,-25.70%,"3,139,520","147,491","296,685","1,044,356","665,481","204,960","499,998","280,549"
Maine,"1,372,247",3.30%,"569,551","681,884",4.6,"$58,484 ","$59,145 ",10.6,93.20%,32.50%,"610,110","$54,651 ",9.90%,"$64,518 ",3.30%,"$51,390 ",17.80%,"$56,696 ",3.80%,"$91,541 ","1,372,247","1,328,361","1,277,040","1,231,296","1,125,043",4.00%,7.90%,18.10%,"15,473",867,"-6,344","11,291","17,635","63,988","186,979","107,473","314,776","391,042","276,567",44.8,"8,894","15,270","18,635",190,"1,256,030","36,960","1,317,682","23,143","6,297","8,691","1,242,113","23,143","7,122","1,033","569,551","349,955","87,698","187,448","41,929","32,880","219,596","169,560",2.2,"746,793","569,551","414,939","154,612","177,242","127,565","6,530","5,238",240,72,980,"$59,145 ","$37,589 ",57.30%,"$58,484 ","$39,690 ","$28,824 ","$17,986 ",47.40%,102.90%,225.20%,"$49,770,658 ","$5,914,374 ","$3,374,203 ","$2,540,171 ","$1,336,763 ","$45,193,047 ","$14,055,207 ","$21,006,172 ","$80,254,426 ",10.6,12.8,"681,884",-1.70%,-2.40%,"650,334",-2.60%,0.80%,"31,550",20.40%,-41.60%,4.6,21.10%,-40.30%,"982,385","22,218","44,307","307,457","188,826","100,402","199,746","119,429"
Maryland,"6,165,129",6.80%,"2,230,527","3,175,550",5.8,"$69,817 ","$88,589 ",9,90.60%,40.90%,"2,581,193","$71,688 ",4.30%,"$87,953 ",4.50%,"$52,147 ",14.50%,"$62,739 ",3.40%,"$135,716 ","6,165,129","5,773,552","5,310,504","4,797,431","4,216,933",8.70%,20.30%,36.90%,"-19,871","6,838","5,252","66,906","61,654","363,618","977,148","532,160","1,605,461","1,628,362","930,875",38.8,"15,860","384,429","1,803,128","2,650","3,275,048","271,139","5,418,206","619,418","59,738","448,118","3,028,494","619,418","97,574","13,988","2,230,527","1,479,378","428,625","633,766","197,563","219,424","751,149","613,024",2.6,"2,459,650","2,230,527","1,495,828","734,699","229,123","57,745","18,496","12,520",50,70,"5,856","$88,589 ","$52,740 ",68.00%,"$69,817 ","$51,845 ","$37,076 ","$23,605 ",34.70%,88.30%,195.80%,"$276,098,594 ","$31,130,262 ","$16,464,924 ","$14,665,338 ","$30,065,989 ","$275,034,321 ","$75,265,493 ","$80,129,517 ","$430,429,331 ",9,11.2,"3,175,550",0.60%,2.50%,"2,992,228",-0.90%,4.20%,"183,322",35.70%,-19.00%,5.8,34.90%,-20.50%,"4,164,698","161,130","231,898","1,006,008","779,586","282,898","907,523","795,655"
Massachusetts,"6,984,723",6.70%,"2,646,980","3,750,870",5.7,"$83,653 ","$87,288 ",9.4,91.10%,44.50%,"3,456,004","$87,752 ",6.70%,"$99,461 ",3.00%,"$61,035 ",18.40%,"$64,813 ",4.90%,"$183,572 ","6,984,723","6,547,629","6,362,498","6,018,664","5,737,093",2.90%,8.80%,14.10%,"-46,187","12,675","-4,234","66,197","70,431","358,030","1,003,940","695,702","1,825,919","1,852,846","1,136,566",39.6,"13,999","466,044","513,369","2,786","5,261,787","328,244","6,044,863","828,140","325,186","439,249","4,865,022","828,140","47,720","15,985","2,646,980","1,673,992","483,513","757,201","206,681","226,597","972,988","751,536",2.5,"2,913,009","2,646,980","1,654,892","992,088","266,029","123,556","19,853","7,231",702,330,"11,590","$87,288 ","$49,266 ",77.20%,"$83,653 ","$54,812 ","$39,872 ","$23,486 ",52.60%,109.80%,256.20%,"$424,058,122 ","$42,628,800 ","$22,368,132 ","$20,260,668 ","($12,130,331)","$369,298,991 ","$107,217,177 ","$107,774,889 ","$584,291,057 ",9.4,10.9,"3,750,870",3.70%,7.70%,"3,535,478",1.80%,9.40%,"215,392",48.40%,-14.40%,5.7,42.50%,-20.80%,"4,815,331","202,050","227,744","1,133,358","738,260","369,777","1,181,453","962,689"
Michigan,"10,050,811",1.70%,"3,980,408","4,776,110",5.9,"$56,494 ","$61,352 ",12.6,91.30%,30.00%,"4,132,277","$61,683 ",14.20%,"$71,688 ",4.10%,"$60,412 ",15.30%,"$58,454 ",3.90%,"$92,883 ","10,050,811","9,883,640","9,954,984","9,310,462","9,262,044",-0.70%,6.20%,6.70%,"-7,893","4,167","-14,353","102,983","117,336","568,326","1,593,437","958,470","2,454,212","2,686,621","1,712,841",39.8,"50,035","316,844","1,360,149","3,117","7,735,902","376,280","9,452,704","521,203","48,389","87,662","7,428,622","521,203","371,361","13,791","3,980,408","2,526,437","676,181","1,188,982","341,132","320,142","1,453,971","1,189,594",2.4,"4,611,913","3,980,408","2,855,485","1,124,923","631,505","288,395","21,732","16,760",424,421,"4,127","$61,352 ","$45,202 ",35.70%,"$56,494 ","$37,781 ","$30,749 ","$19,298 ",49.50%,83.70%,192.70%,"$361,319,660 ","$41,839,654 ","$23,203,429 ","$18,636,225 ","$3,289,390 ","$322,769,396 ","$93,905,358 ","$151,132,350 ","$567,807,104 ",12.6,16.8,"4,776,110",-1.50%,2.30%,"4,495,651",-2.40%,7.00%,"280,459",16.00%,-40.00%,5.9,18.00%,-41.00%,"6,853,674","186,848","409,465","1,955,654","1,587,649","658,927","1,251,117","804,014"
Minnesota,"5,707,390",7.60%,"2,207,988","3,021,360",3.4,"$66,280 ","$75,489 ",8.3,93.40%,36.80%,"2,774,861","$67,009 ",11.30%,"$74,602 ",3.80%,"$59,398 ",17.80%,"$59,381 ",5.30%,"$120,211 ","5,707,390","5,303,925","4,933,739","4,387,283","4,075,970",7.50%,20.90%,30.10%,"-13,453","4,042","9,487","63,065","53,578","351,104","948,180","498,444","1,471,018","1,443,844","887,576",38.1,"54,558","275,242","359,817","2,201","4,572,149","217,451","5,292,491","307,675","15,891","81,794","4,422,490","307,675","204,270","5,720","2,207,988","1,404,798","443,546","667,004","175,827","118,421","803,190","635,930",2.4,"2,458,030","2,207,988","1,588,611","619,377","250,042","138,793","33,652","16,704",354,283,"16,311","$75,489 ","$49,170 ",53.50%,"$66,280 ","$45,323 ","$33,490 ","$20,322 ",46.20%,97.90%,226.10%,"$261,570,742 ","$29,362,353 ","$15,878,997 ","$13,483,356 ","($1,590,875)","$230,617,514 ","$69,678,024 ","$77,989,118 ","$378,284,656 ",8.3,9.5,"3,021,360",-0.10%,2.30%,"2,918,393",0.40%,5.70%,"102,967",-11.80%,-46.40%,3.4,-12.80%,-47.70%,"3,802,438","104,830","147,501","921,198","789,426","440,908","919,059","479,516"
Mississippi,"2,949,965",-0.60%,"1,116,649","1,254,239",5.6,"$45,881 ","$47,368 ",18.7,85.30%,22.80%,"1,117,423","$44,958 ",12.90%,"$54,117 ",5.40%,"$50,159 ",15.60%,"$49,622 ",2.80%,"$68,478 ","2,949,965","2,967,297","2,848,433","2,577,426","2,520,770",4.20%,15.10%,17.70%,"-4,246",441,"-3,237","34,957","38,194","185,274","521,947","291,502","757,517","751,325","474,270",37.7,"13,951","29,742","1,123,545","1,215","1,729,353","50,030","2,887,493","94,342","9,927","26,161","1,680,938","94,342","54,717","3,537","1,116,649","740,489","182,024","317,611","120,355","120,499","376,160","326,514",2.5,"1,330,867","1,116,649","767,972","348,677","214,218","38,016","7,988","7,384",44,100,460,"$47,368 ","$32,542 ",45.60%,"$45,881 ","$32,546 ","$22,845 ","$13,964 ",41.00%,100.80%,228.60%,"$79,106,234 ","$9,660,358 ","$5,582,557 ","$4,077,801 ","$3,949,598 ","$73,395,474 ","$19,894,816 ","$42,057,106 ","$135,347,396 ",18.7,26,"1,254,239",-1.40%,-6.80%,"1,184,401",-1.00%,-2.50%,"69,838",-7.60%,-46.80%,5.6,-5.10%,-42.90%,"1,983,112","92,808","198,227","596,914","440,709","203,255","274,566","176,633"
Missouri,"6,168,187",3.00%,"2,440,212","3,062,449",4.4,"$55,325 ","$58,812 ",12.1,90.60%,29.90%,"2,741,068","$56,456 ",9.90%,"$63,453 ",4.60%,"$52,013 ",16.80%,"$53,394 ",4.80%,"$94,415 ","6,168,187","5,988,927","5,605,714","5,126,370","4,916,766",6.80%,16.80%,21.80%,"14,861","2,942","-4,515","68,818","73,333","371,046","1,008,377","567,945","1,564,833","1,578,575","1,033,384",38.7,"24,274","123,810","698,043","8,887","4,978,046","214,318","5,861,483","262,677","18,141","60,922","4,826,943","262,677","176,154","7,460","2,440,212","1,551,056","432,071","733,147","208,153","177,685","889,156","727,063",2.4,"2,804,664","2,440,212","1,637,374","802,838","364,452","92,141","21,372","13,941",478,595,"6,358","$58,812 ","$40,411 ",45.50%,"$55,325 ","$38,533 ","$28,690 ","$18,559 ",43.60%,92.80%,198.10%,"$229,880,935 ","$25,728,807 ","$14,314,105 ","$11,414,702 ","($5,728,715)","$198,423,413 ","$61,145,571 ","$81,684,973 ","$341,253,957 ",12.1,15.5,"3,062,449",-0.30%,1.00%,"2,928,368",-0.20%,5.70%,"134,081",-3.80%,-48.90%,4.4,-2.20%,-48.80%,"4,176,792","121,333","271,712","1,275,987","920,515","336,661","770,259","480,325"
Montana,"1,104,271",11.60%,"436,048","549,743",3.4,"$56,949 ","$57,730 ",12.4,94.00%,33.10%,"478,522","$51,319 ",4.50%,"$57,179 ",3.30%,"$51,450 ",15.40%,"$56,904 ",3.50%,"$83,839 ","1,104,271","989,415","903,305","799,824","786,690",9.50%,23.70%,25.80%,"19,240",551,"-1,520","10,502","12,022","61,338","167,251","98,428","264,194","272,375","198,119",40.1,"65,523","8,664","5,919",595,"932,157","40,705","1,020,204","41,501","2,241","9,359","908,782","41,501","28,858","1,043","436,048","267,258","74,590","140,495","29,249","22,924","168,790","134,377",2.3,"514,956","436,048","298,728","137,320","78,908","41,792","7,272","3,169",348,267,"3,488","$57,730 ","$33,281 ",73.50%,"$56,949 ","$38,558 ","$23,996 ","$16,298 ",47.70%,137.30%,249.40%,"$38,034,685 ","$4,760,575 ","$2,578,040 ","$2,182,535 ","$266,609 ","$33,540,719 ","$14,793,593 ","$14,552,387 ","$62,886,699 ",12.4,14.6,"549,743",5.40%,9.70%,"531,202",6.40%,13.60%,"18,541",-17.50%,-44.30%,3.4,-20.90%,-48.50%,"734,688","12,577","31,651","206,206","171,489","69,269","163,183","80,313"
Nebraska,"1,963,692",7.50%,"766,663","1,049,033",2.5,"$61,205 ","$64,735 ",9.2,91.60%,32.50%,"965,747","$53,853 ",10.30%,"$59,991 ",4.70%,"$55,014 ",14.80%,"$54,433 ",5.60%,"$84,375 ","1,963,692","1,826,341","1,713,279","1,580,664","1,569,825",6.60%,15.50%,16.30%,"-3,313","1,044","4,311","23,524","19,213","130,742","344,361","189,183","495,053","462,456","302,031",36.6,"16,875","47,944","91,896","1,235","1,641,256","75,937","1,708,874","214,952","5,967","48,241","1,507,127","214,952","155,339","5,405","766,663","488,849","158,416","224,772","63,905","41,756","277,814","225,695",2.4,"844,248","766,663","507,291","259,372","77,585","16,781","10,723","6,328",118,177,"4,100","$64,735 ","$40,429 ",60.10%,"$61,205 ","$45,674 ","$30,275 ","$18,989 ",34.00%,102.20%,222.30%,"$83,367,492 ","$9,287,614 ","$5,037,416 ","$4,250,198 ","($1,284,405)","$72,795,473 ","$23,689,155 ","$23,703,846 ","$120,188,474 ",9.2,10.1,"1,049,033",3.20%,4.50%,"1,022,662",3.80%,6.60%,"26,371",-15.20%,-40.50%,2.5,-19.40%,-43.20%,"1,259,540","47,818","58,366","324,098","285,338","134,605","269,312","140,003"
Nevada,"3,143,991",16.40%,"1,130,011","1,504,761",7.2,"$60,213 ","$64,608 ",12.5,86.90%,25.50%,"1,357,630","$59,463 ",4.40%,"$70,056 ",6.50%,"$54,557 ",10.70%,"$62,843 ",2.90%,"$103,583 ","3,143,991","2,700,551","2,018,196","1,218,629","800,508",33.80%,121.60%,237.40%,"25,327","2,189","2,075","33,883","31,808","184,141","503,372","248,948","846,847","768,953","478,020",38.2,"37,715","252,314","282,722","21,398","1,881,048","228,481","2,154,483","875,798","28,384","156,013","1,460,159","875,798","656,491","34,910","1,130,011","720,213","192,513","309,315","109,916","108,469","409,798","318,983",2.6,"1,268,533","1,130,011","644,864","485,147","138,522","42,350","23,406","16,295",220,677,"6,214","$64,608 ","$44,698 ",44.50%,"$60,213 ","$38,777 ","$32,461 ","$21,228 ",55.30%,85.50%,183.60%,"$117,154,278 ","$12,752,322 ","$6,801,389 ","$5,950,933 ","($102,666)","$104,299,290 ","$42,435,092 ","$42,573,862 ","$189,308,244 ",12.5,16.7,"1,504,761",6.40%,10.60%,"1,395,939",4.80%,18.30%,"108,822",33.00%,-39.90%,7.2,24.10%,-45.90%,"2,093,820","111,954","162,045","584,698","525,967","176,159","348,505","184,492"
New Hampshire,"1,388,992",5.50%,"539,116","755,422",3.5,"$73,200 ","$81,415 ",7,93.30%,37.60%,"649,187","$72,063 ",10.50%,"$80,652 ",3.00%,"$54,403 ",14.70%,"$65,457 ",4.20%,"$133,743 ","1,388,992","1,316,470","1,240,385","1,111,831","920,610",6.10%,18.40%,43.00%,"13,608","1,243","-3,744","11,414","15,158","63,677","194,054","126,351","324,672","401,348","245,142",43,"2,197","36,581","21,045",424,"1,246,602","39,852","1,302,452","52,792","16,894","24,435","1,214,029","52,792","9,190","2,273","539,116","351,445","95,659","185,948","37,469","32,369","187,671","143,739",2.4,"638,611","539,116","383,839","155,277","99,495","70,149","4,892","3,426",132,141,"1,193","$81,415 ","$49,830 ",63.40%,"$73,200 ","$49,131 ","$36,747 ","$21,436 ",49.00%,99.20%,241.50%,"$68,376,105 ","$7,070,417 ","$3,995,449 ","$3,074,968 ","$5,748,212 ","$67,053,900 ","$16,547,197 ","$18,073,368 ","$101,674,465 ",7,8.4,"755,422",0.40%,2.50%,"728,940",-0.30%,4.60%,"26,482",23.30%,-34.10%,3.5,20.70%,-36.40%,"971,162","21,380","44,075","264,953","174,701","101,368","223,814","140,871"
New Jersey,"9,267,130",5.40%,"3,272,054","4,661,087",6.3,"$77,016 ","$87,095 ",9.4,90.30%,40.70%,"3,926,844","$76,340 ",6.10%,"$88,979 ",6.00%,"$59,719 ",15.20%,"$63,400 ",4.70%,"$152,303 ","9,267,130","8,791,894","8,430,799","7,757,158","7,365,011",4.30%,13.30%,19.40%,"-27,766","10,014","4,697","95,254","90,557","518,349","1,435,104","762,464","2,281,460","2,445,103","1,442,938",40,"22,288","857,873","1,189,681","3,156","5,820,147","427,611","7,070,340","1,815,078","465,653","1,040,587","4,858,807","1,815,078","215,699","93,139","3,272,054","2,247,306","698,943","970,494","260,423","317,446","1,024,748","851,817",2.6,"3,628,732","3,272,054","2,094,427","1,177,627","356,678","134,412","37,094","13,913","1,192",645,"21,344","$87,095 ","$52,990 ",64.40%,"$77,016 ","$52,947 ","$40,245 ","$25,072 ",45.50%,91.40%,207.20%,"$440,469,029 ","$48,462,844 ","$26,458,869 ","$22,003,975 ","$70,885,860 ","$462,892,045 ","$119,365,762 ","$131,462,787 ","$713,720,594 ",9.4,12.6,"4,661,087",3.70%,2.20%,"4,365,397",2.20%,5.60%,"295,690",33.40%,-30.80%,6.3,28.60%,-33.00%,"6,169,501","287,866","312,895","1,649,853","996,254","409,571","1,530,150","982,912"
